_date,total_views,unique_views
2024-06-13,14,4
2024-06-14,3,3
2024-06-17,16,2
2024-06-18,44,3
2024-06-21,20,2
2024-06-23,4,1
2024-06-24,317,6
2024-06-25,24,1
2024-06-26,6,2
2024-06-27,10,3
2024-06-28,15,4
2024-07-01,2,1
2024-07-02,4,3
2024-07-03,4,2
2024-07-04,1,1
2024-07-05,4,2
2024-07-06,2,2
2024-07-07,1,1
2024-07-08,117,4
2024-07-09,2,2
2024-07-10,18,2
2024-07-15,12,2
2024-07-16,2,2
2024-07-18,108,4
2024-07-22,2,2
2024-07-23,2,1
2024-07-24,2,2
2024-07-25,1,1
2024-07-26,1,1
2024-07-27,1,1
2024-07-28,8,1
2024-07-31,73,6
2024-08-01,13,3
2024-08-02,4,2
2024-08-04,1,1
2024-08-05,1,1
2024-08-06,15,5
2024-08-07,5,3
2024-08-08,5,3
2024-08-09,41,3
2024-08-12,11,4
2024-08-13,2,2
2024-08-14,16,4
2024-08-15,2,2
2024-08-18,1,1
2024-08-19,101,4
2024-08-20,4,4
2024-08-21,15,5
2024-08-22,10,4
2024-08-23,39,3
2024-08-25,18,1
2024-08-26,27,3
2024-08-27,98,5
2024-08-28,99,5
2024-08-29,15,2
2024-08-30,40,2
2024-09-02,92,6
2024-09-03,23,3
2024-09-04,3,2
2024-09-06,10,4
2024-09-09,9,3
2024-09-10,9,2
2024-09-11,1,1
2024-09-12,9,3
2024-09-17,1,1
2024-09-18,3,3
2024-09-19,1,1
2024-09-20,6,2
2024-09-22,3,3
2024-09-23,17,2
2024-09-24,26,4
2024-09-25,17,2
2024-09-27,6,3
2024-09-28,3,1
2024-09-30,10,2
2024-10-01,12,3
2024-10-02,4,2
2024-10-03,1,1
2024-10-04,1,1
2024-10-05,4,1
2024-10-06,2,2
2024-10-07,8,3
2024-10-08,6,2
2024-10-10,7,1
2024-10-11,1,1
2024-10-14,1,1
2024-10-15,9,1
2024-10-16,18,2
2024-10-17,11,2
2024-10-18,21,3
2024-10-20,2,2
2024-10-21,1,1
2024-10-22,9,5
2024-10-23,3,2
2024-10-24,1,1
2024-10-25,4,2
2024-10-28,8,1
2024-10-29,1,1
2024-10-30,2,2
2024-11-01,4,2
2024-11-02,1,1
2024-11-04,13,4
2024-11-05,3,3
2024-11-06,3,3
2024-11-07,3,2
2024-11-09,1,1
2024-11-10,6,1
2024-11-11,1,1
2024-11-13,5,3
2024-11-14,4,2
2024-11-15,6,1
2024-11-16,12,2
2024-11-18,4,4
2024-11-19,11,3
2024-11-20,11,3
2024-11-21,1,1
2024-11-22,6,2
2024-11-25,17,1
2024-11-27,42,1
2024-11-28,7,1
2024-11-29,7,1
2024-12-02,12,4
2024-12-04,12,3
2024-12-05,13,1
2024-12-06,12,3
2024-12-11,19,4
2024-12-12,11,4
2024-12-13,6,2
2024-12-15,33,2
2024-12-16,6,2
2024-12-17,2,1
2024-12-18,4,2
2024-12-19,7,3
2024-12-20,15,2
2024-12-21,6,1
2024-12-23,4,2
2024-12-24,3,2
2024-12-25,6,2
2024-12-26,1,1
2024-12-27,14,3
2024-12-28,2,2
2024-12-30,5,1
2025-01-04,1,1
2025-01-05,2,1
2025-01-09,13,3
2025-01-10,54,2
2025-01-12,2,2
2025-01-13,70,3
2025-01-14,52,6
2025-01-15,28,3
2025-01-16,6,1
2025-01-17,32,2
2025-01-18,10,1
2025-01-20,2,2
2025-01-21,3,2
2025-01-22,51,3
2025-01-23,46,3
2025-01-24,7,2
2025-01-26,11,1
2025-01-27,3,1
2025-01-28,34,3
2025-01-29,2,2
2025-01-30,1,1
2025-02-04,63,3
2025-02-07,5,2
2025-02-10,2,1
2025-02-11,18,2
2025-02-12,10,2
2025-02-13,1,1
2025-02-14,11,1
2025-03-19,1,1
2025-03-20,1,1
2025-03-23,1,1
2025-03-24,2,2
2025-03-25,1,1
2025-03-26,5,1
2025-03-27,3,2
2025-03-30,1,1
2025-03-31,1,1
2025-04-01,27,4
2025-04-02,26,4
2025-04-03,16,3
2025-04-04,2,2
2025-04-05,1,1
2025-04-06,1,1
2025-04-07,22,4
